"集数","作品ID","链接","发布时间","时长秒","点赞","评论","收藏","分享","收藏点赞比","分享点赞比","表现分层","标题描述","章节摘要","章节结构","数据来源","限制说明"
"56","7658266531562671412","https://www.douyin.com/video/7658266531562671412","2026-07-03 19:45:35","408.9","3765","34","1530","377","40.64","10.01","C_3000-1万","为什么老祖宗的十条人生总结，竟然没有一个字提到“努力”？ #人生经验 #前人智慧 #思考 #如果说",,"：","抖音公开合集接口","平台未返回章节摘要，需逐字稿"
"57","7658628033149930793","https://www.douyin.com/video/7658628033149930793","2026-07-04 19:08:22","678.3","18402","232","8402","2466","45.66","13.4","B_1万-5万","觉醒就是，一个一个地打破你曾经深信不疑的东西 #国学智慧 #人生感悟 #内修 #如果说","觉醒的过程是一个逐步打破曾经深信不疑的东西的过程。首先要破是非之相，认识到世界上没有绝对的真相；其次要破自我之相，放下别人的期待，战胜自己；接着要破文字之相，思考自己是否真的理解了所学的知识；再破关系之相，接受关系的阶段，活在缘分里；然后破情绪之相，意识到自己在情绪里，正视内心未处理好的东西；最后破时间之相，不要被年龄和时间限制，勇敢追求自己的梦想。觉醒就是在这个过程中不断接近真正的自己。","引言：觉醒的第一步是破相，不破不立。｜破是非之相：世界上没有绝对的真相，只有立场和视角，不要争论对错。｜破自我之相：真正的敌人是自己，要战胜心中的贼，放下别人的期待。｜破文字之相：书上的真理可能有局限，要思考自己是否真的想清楚了。｜破关系之相：真正的爱是不求回报的，接受关系的阶段，活在缘分里。｜破情绪之相：意识到自己在情绪里，看见情绪，正视内心未处理好的东西。｜破时间之相：不要被年龄和时间限制，勇敢追求自己的梦想。｜结语：觉醒是打破曾经深信不疑的东西，边走边破，离真正的自己更近。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"58","7659021467580960010","https://www.douyin.com/video/7659021467580960010","2026-07-05 20:35:08","258.9","60998","998","16507","13520","27.06","22.16","A_5万-10万","如果一直没有遇到特别喜欢的人，那你已经进入了一种境界 #智者不入爱河 #情感 #禅悟人生 #如果说","智者不入爱河，因为真正成熟圆满的人内心不再匮乏。我们喜欢的人往往是我们内心缺失的东西的投影，而热烈的感情往往死得最快。内心不匮乏的人会真实地感受对方，而不是急着往对方身上套自己的期待。内心丰盈的标志是在没有任何人的时候依然能够平静，不需要靠感情证明自己的价值。","引言：｜“成心”与感情：庄子提出“成心”，认为人们看到的世界是自己内心的倒影，在感情中也是如此。｜匮乏与吸引：一个人越缺什么就越容易被什么吸引，这是匮乏在作祟。｜自我投射与感情：我们喜欢的人往往是我们内心缺失的东西的投影，在走进一段关系前要先弄清楚自己内心的缺口。｜镜像识别与感情：一见钟情可能是潜意识的镜像识别，热烈的感情往往死得最快。｜内心不匮乏的状态：内心不匮乏的人会真实地感受对方，而不是急着往对方身上套自己的期待。｜结语：内心丰盈的标志是在没有任何人的时候依然能够平静，不需要靠感情证明自己的价值。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"59","7659382845609119016","https://www.douyin.com/video/7659382845609119016","2026-07-06 19:57:31","371.8","4075","28","1773","423","43.51","10.38","C_3000-1万","“强”是脆弱之源，“弱”才是方法论 #国学文化 #道德经 #独立思考 #如果说","道德经中的“弱者道之用”揭示了一个颠覆常规认知的秘密：在人生这场游戏中，真正的赢家并非努力拼搏、追求第一，而是懂得如何理解和运用弱。弱并非认输，而是一种更高维度的赢法，如水的不争、无形和恒久。学会用弱，保持能力的多样性和心态的开放性，才能在这个反向的世界里持续运转。","引言：｜水的不争：水往低处流，不争高下，滋养格局，扩大容量。｜水的无形：水无常形，适应各种环境，不给自己设限。｜水的恒久：水滴石穿，持续做同一件事，不在乎慢，只在乎一直在。｜强的局限：物壮则老，强是一个点，弱是一张网，保持能力多样性和心态开放性。｜山谷的姿态：虚怀若谷，接纳各种想法和建议，心胸深广。｜随顺：顺其自然，不与已发生的事情较劲，把能量用在找出口。｜强弱的运用：强和弱是工具，该强则强，该弱则弱，以强护弱，以弱御强。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"60","7659780318336929065","https://www.douyin.com/video/7659780318336929065","2026-07-07 21:39:53","281.3","73566","692","28865","16566","39.24","22.52","A_5万-10万","清醒自知，从容自在，心有山海，静而不争 #人生境界 #独立思考 #思维格局 #如果说","《天道》中提到，人分为低、中、高三个境界：低境界的人活在情绪里，中境界的人活在价值里，高境界的人活在规律里。活在情绪里的人容易被情绪左右，活在价值里的人专注于提升能力和创造价值，而活在规律里的人则看透现象背后的逻辑，知道什么是真正重要的。要成为一个活得清醒的人，需要学会不困于情绪，不迷于表象，让心掌舵。","引言：｜低境界：低境界的人活在情绪里，容易被情绪左右，导致人生混乱。｜中境界：中境界的人活在价值里，学会放下内耗，专注于提升能力和创造价值。｜高境界：高境界的人活在规律里，看透现象背后的逻辑，知道什么是真正重要的。｜总结：真正活得清醒的人不困于情绪，不迷于表象，知道自己的方向。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"61","7660122335013276971","https://www.douyin.com/video/7660122335013276971","2026-07-08 19:47:03","327.8","5888","62","3081","975","52.33","16.56","C_3000-1万","当下即终局，不要把自己困在结果里 #国学文化 #道德经 #思考认知 #如果说","道德经第64章强调当下即终局，我们应摆脱进度条的幻觉，关注当下的每一个动作。真正聪明的人会在事情最微小的时候出手，踏实地打磨自己，而不是急于追求结果。圣人顺应事物的本性，不执着于名利，始终保持初心。我们应该学会享受过程，做好每一个基本动作，而不是为了达到某个目标而焦虑。","引言：｜进度条的幻觉：我们脑子里天然存在一个进度条的概念，导致我们焦虑。｜当下即终局：当下即终局，我们做的每一件事都已经包含了未来的结果。｜掌控当下：掌控当下，关注微小动作，避免功利心和执念。｜圣人的智慧：圣人顺应事物本性，不执着于结果，始终保持初心。｜结语：不追求世俗欲望，回归本质，做好基本动作，享受过程。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"62","7660468197740596532","https://www.douyin.com/video/7660468197740596532","2026-07-09 18:09:09","299.9","59185","415","31304","6890","52.89","11.64","A_5万-10万","修习内求的三个心法：内观，内守，内定 #独立思考 #成长之路 #向内求 #如果说","向内求是一种能提升人生的能力，包括内观、内守和内定。内观是收回关注外界的目光，专注于自己；内守是放下对外界的期待，珍惜拥有的；内定是通过专注于一件事，让内心平静，听到内心的声音。这三件事本质上是一件事，即把心力从向外耗散收回到向内积累，专注于自己的事情，从而走出属于自己的路。","引言：｜向内求的思想来源：六祖慧能的偈子“菩提本无树，明镜亦非台。本来无一物，何处惹尘埃”，表达了向内求的思想。｜内观：内观是把看世界的眼光收回来，避免过度关注别人，保持专注。｜内守：内守是放下对外界的期待，珍惜手中拥有的，降低阻力。｜内定：内定是通过专注于一件事，让内心平静，听到内心真正的声音。｜总结：内观、内守、内定是一件事，把心力从向外耗散收回到向内积累，专注于自己的事情。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"63","7660896909606849807","https://www.douyin.com/video/7660896909606849807","2026-07-10 21:52:55","383.8","33155","380","13856","4502","41.79","13.58","B_1万-5万","为什么说“慕强”只是人生的最低级阶段？真正走到最后的人，都在 慕空#认知思考 #道德经 #开悟 #精选计划 #如果说","人生的四个阶段：弱时慕强、强时慕争、争时慕绝、绝时慕空。每个阶段都有不同的追求和挑战，从追求力量到追求规律，再到追求觉悟和留白。人的成长是一路向内走，放下的越多，生命反而越辽阔。","引言：｜弱时慕强：弱时慕强是本能，商鞅变法失败说明强不是终点。｜强时慕真：强时慕真，懂得规律的人会在某个时间点主动做减法，为下一次增长腾出空间。｜真时慕觉：争时慕绝，心空才能正，心正才能看见事情的本来面目。｜觉时慕空：觉时慕空，放下执念，心不再向外攀附，反而看见了更大的东西。｜结语：人的成长是一路向内走，放下的越多，生命越辽阔。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"64","7661179181669092642","https://www.douyin.com/video/7661179181669092642","2026-07-11 18:10:00","308","58390","393","24299","7073","41.62","12.11","A_5万-10万","一个人见过世面最好的状态就是挫其锐，解其纷，和其光，同其尘 #道德经 #和光同尘 #认知 #独立思考 #如果说","见过世面的人最好的状态是和光同尘，这需要经历挫其锐、解其纷、和其光、同其尘四个过程。挫其锐是收起锋芒，避免攻击性；解其纷是理解他人，找到矛盾的根源；和其光是让别人发光，发挥他们的价值；同其尘是尊重不同的爱好和观点，避免鄙视链。通过这些过程，我们可以成为光本身，照亮自己，温暖别人，融入任何一束光，接纳任何一粒尘。","引言：｜挫其锐：真正聪明的人会低调行事，避免锋芒毕露，以免引起他人的敌意。｜解其纷：解纷需要理解对方，找到矛盾的根源，避免争论对错，而是寻求双方都能接受的解决方案。｜和其光：和其光是让别人发光，发挥他们的价值，而不是廉价的拍马屁。｜同其尘：同其尘是尊重不同的爱好和观点，避免鄙视链，理解高雅和通俗的相对性。｜总结：和光同尘是剥掉自我，成为光本身，照亮自己，温暖别人，融入任何一束光，接纳任何一粒尘。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"65","7661605040515321138","https://www.douyin.com/video/7661605040515321138","2026-07-12 19:40:43","338.7","5129","44","2136","569","41.65","11.09","C_3000-1万","怎么做到永远不生气，对事量权，对人揣情 #鬼谷子 #中国古代 #认知提升 #如果说","鬼谷子认为，要做到永远不生气，需要学会量权和揣情。量权是处理客观事情，不被情绪左右；揣情是琢磨人心，了解对方的真实想法。真正能把事办成的人，需要拿捏这两套尺子，对着事情看形势，对着人顺着对方的劲说话。然而，最难的是放下“我是对的”这个执念，看清自己的内心。","引言：鬼谷子认为人是情绪、欲望和恐惧的集合，真正能把事做成的人，脑子里装着量权和揣情。｜量权：量权是处理客观事情，与情绪无关，只关乎规律和逻辑。｜揣情：揣情是琢磨人心，人的理性不是用来做决定的，而是替心里早就定好的答案找解释。｜结语：鬼谷子的学问核心是让你先把自己看明白，看清自己，才是揣情最深的那一层。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
